_id,competitor
626fa4f3c5486f87ac9c7676,62005d4f7222c33359c8fd37
626fa4f3c5486f87ac9c7677,62005d4f7222c33359c8fd37
626fa4f3c5486f87ac9c7678,62005d4f7222c33359c8fd37
62702a391e89404ee7ae608d,62005d427222c33359c8efd8
62702a391e89404ee7ae6092,62005d427222c33359c8efd8
62702a391e89404ee7ae6091,62005d427222c33359c8efd8
62702a391e89404ee7ae608f,62005d427222c33359c8efd8
62702a391e89404ee7ae6093,62005d427222c33359c8efd8
62702a391e89404ee7ae608c,62005d427222c33359c8efd8
62702a391e89404ee7ae6090,62005d427222c33359c8efd8
62702a391e89404ee7ae608e,62005d427222c33359c8efd8
62702a401e89404ee7ae60a0,6260682bcab72e4cbd80f532
62702a401e89404ee7ae609e,6260682bcab72e4cbd80f532
62702a401e89404ee7ae609f,6260682bcab72e4cbd80f532
62702a461e89404ee7ae60a6,622845e80c2e10816b62d52d
62702a461e89404ee7ae60a7,622845e80c2e10816b62d52d
62702a461e89404ee7ae60a8,622845e80c2e10816b62d52d
62702a461e89404ee7ae60a9,622845e80c2e10816b62d52d
62702a461e89404ee7ae60aa,622845e80c2e10816b62d52d
62702a461e89404ee7ae60ab,622845e80c2e10816b62d52d
62702a461e89404ee7ae60ac,622845e80c2e10816b62d52d
62702a461e89404ee7ae60ad,622845e80c2e10816b62d52d
62702a4d1e89404ee7ae60b9,62383ac6aa7572a76391d50f
62702a4d1e89404ee7ae60b8,62383ac6aa7572a76391d50f
62702a4d1e89404ee7ae60bb,62383ac6aa7572a76391d50f
62702a4d1e89404ee7ae60be,62383ac6aa7572a76391d50f
62702a4d1e89404ee7ae60ba,62383ac6aa7572a76391d50f
62702a4d1e89404ee7ae60bd,62383ac6aa7572a76391d50f
62702a4d1e89404ee7ae60bc,62383ac6aa7572a76391d50f
62702a4d1e89404ee7ae60bf,62383ac6aa7572a76391d50f
62702a551e89404ee7ae60ca,62005d407222c33359c8e9d9
62702a551e89404ee7ae60cb,62005d407222c33359c8e9d9
62702a551e89404ee7ae60cd,62005d407222c33359c8e9d9
62702a551e89404ee7ae60cc,62005d407222c33359c8e9d9
62702a551e89404ee7ae60ce,62005d407222c33359c8e9d9
62702a551e89404ee7ae60cf,62005d407222c33359c8e9d9
62702a551e89404ee7ae60d1,62005d407222c33359c8e9d9
62702a551e89404ee7ae60d0,62005d407222c33359c8e9d9
62702a5b1e89404ee7ae60dd,62005d557222c33359c90794
62702a5b1e89404ee7ae60dc,62005d557222c33359c90794
62702a611e89404ee7ae60e6,62005d477222c33359c8f628
62702a611e89404ee7ae60e5,62005d477222c33359c8f628
62702a611e89404ee7ae60e8,62005d477222c33359c8f628
62702a611e89404ee7ae60e2,62005d477222c33359c8f628
62702a611e89404ee7ae60e7,62005d477222c33359c8f628
62702a611e89404ee7ae60e3,62005d477222c33359c8f628
62702a611e89404ee7ae60e4,62005d477222c33359c8f628
62702a611e89404ee7ae60e9,62005d477222c33359c8f628
62702a681e89404ee7ae60f4,626629033bb129236427ae6b
62702a681e89404ee7ae60f5,626629033bb129236427ae6b
62702a681e89404ee7ae60f8,626629033bb129236427ae6b
62702a681e89404ee7ae60f7,626629033bb129236427ae6b
62702a681e89404ee7ae60f9,626629033bb129236427ae6b
62702a681e89404ee7ae60f6,626629033bb129236427ae6b
62702a681e89404ee7ae60fb,626629033bb129236427ae6b
62702a681e89404ee7ae60fa,626629033bb129236427ae6b
62702a6e1e89404ee7ae6108,62676d8104bbd6e766962ae5
62702a6e1e89404ee7ae6107,62676d8104bbd6e766962ae5
62702a6e1e89404ee7ae6106,62676d8104bbd6e766962ae5
62702a6e1e89404ee7ae6109,62676d8104bbd6e766962ae5
62702a6e1e89404ee7ae610a,62676d8104bbd6e766962ae5
62702a6e1e89404ee7ae610c,62676d8104bbd6e766962ae5
62702a6e1e89404ee7ae610b,62676d8104bbd6e766962ae5
62702a6e1e89404ee7ae610d,62676d8104bbd6e766962ae5
62702a741e89404ee7ae6119,62005d507222c33359c8feee
62702a741e89404ee7ae6118,62005d507222c33359c8feee
62702a7a1e89404ee7ae611f,62005d817222c33359c93436
62702a7a1e89404ee7ae611e,62005d817222c33359c93436
62702a7a1e89404ee7ae6120,62005d817222c33359c93436
62702a811e89404ee7ae6126,6217bf743e8e7f7628a6d79c
